idx,collection,modality,subject,source_scanner,new_PatientName,new_PatientID,StudyInstanceUID,SeriesInstanceUID,size_MB,instances,transfer_syntax
1,htan_hms,SM,FL01,RareCyte,26CN^EXT_IDC_from_RareCyte_FL01,IDC-EXT-FL01,2.25.254901417575324832540235892437527774975,1.3.6.1.4.1.5962.99.1.2351537988.1691156399.1655913979716.4.0,53228.118,216,Explicit VR Little Endian
2,htan_hms,PR,FL01,RareCyte,26CN^EXT_IDC_from_RareCyte_FL01,IDC-EXT-FL01,2.25.254901417575324832540235892437527774975,1.2.826.0.1.3680043.10.511.3.32217822852247924170142261734082901,0.219,3,Explicit VR Little Endian
3,hcmi_cmdc,SM,HE01,Aperio,26CN^EXT_IDC_from_Aperio_HE01,IDC-EXT-HE01,2.25.326831351899246997718579660054873448065,1.3.6.1.4.1.5962.99.1.3052275118.437477262.1772578833838.4.0,3.831,3,"Explicit VR Little Endian,JPEG Baseline"
4,tcga_luad,SM,HE02,Aperio,26CN^EXT_IDC_from_Aperio_HE02,IDC-EXT-HE02,2.25.113910498547580375599321634216516970390,1.3.6.1.4.1.5962.99.1.1048952951.469777563.1637431525495.2.0,14.105,3,"Explicit VR Little Endian,JPEG 2000"
5,htan_vanderbilt,SM,HE03,LeicaSCN400,26CN^EXT_IDC_from_LeicaSCN400_HE03,IDC-EXT-HE03,2.25.215244595345296939373838636406158345745,1.3.6.1.4.1.5962.99.1.2027811345.1425031706.1655590253073.4.0,736.438,7,JPEG 2000 Lossless
6,tcga_luad,ANN,HE02,Aperio,26CN^EXT_IDC_from_Aperio_HE02,IDC-EXT-HE02,2.25.113910498547580375599321634216516970390,1.2.826.0.1.3680043.10.511.3.66626547635466777954373480481638649,1.043,1,Explicit VR Little Endian
7,bonemarrowwsi_pediatricleukemia,ANN,MGG01,3DHISTECH,26CN^EXT_IDC_from_3DHISTECH_MGG01,IDC-EXT-MGG01,1.2.826.0.1.3680043.8.498.37689962845386577627578641862732406672,1.2.826.0.1.3680043.10.511.3.75156072263858645925658754886035975,0.063,1,Explicit VR Little Endian
8,bonemarrowwsi_pediatricleukemia,SM,MGG01,3DHISTECH,26CN^EXT_IDC_from_3DHISTECH_MGG01,IDC-EXT-MGG01,1.2.826.0.1.3680043.8.498.37689962845386577627578641862732406672,1.2.826.0.1.3680043.8.498.19212570839483117674134243789833677578,2511.283,6,JPEG Baseline
9,cgci_htmcp_lc,SM,IHC01,Aperio,26CN^EXT_IDC_from_Aperio_IHC01,IDC-EXT-IHC01,2.25.62097431654635660667506156467264852146,1.3.6.1.4.1.5962.99.1.3836604227.2006969735.1773363162947.4.0,6.823,3,"Explicit VR Little Endian,JPEG 2000"
10,cgci_blgsp,SM,IHC02,Aperio,26CN^EXT_IDC_from_Aperio_IHC02,IDC-EXT-IHC02,2.25.35449169900502839636017945370968954585,1.3.6.1.4.1.5962.99.1.3888926996.1445722942.1773415485716.4.0,21.282,3,"Explicit VR Little Endian,JPEG 2000"
11,cgci_htmcp_dlbcl,SM,ISH01,Aperio,26CN^EXT_IDC_from_Aperio_ISH01,IDC-EXT-ISH01,2.25.336444473395720978044870396873829787454,1.3.6.1.4.1.5962.99.1.2962403854.296721353.1772488962574.4.0,69.326,4,"Explicit VR Little Endian,JPEG 2000"
